농장명,축종,사육규모,농장주소
백조농장(2),육용오리,20000,전라북도 정읍시 입암면
대원농장,토종닭,22000,전라북도 정읍시 소성면 등계리 170-2
마동농장,삼계,80000,전라북도 정읍시 소성면 등계리 49
원아농장,토종닭,65000,전라북도 정읍시 소성면 보화리 306-2
가금농장,토종닭,45000,전라북도 정읍시 소성면 애당리 434-6
청운농장,육계,95000,전라북도 정읍시 소성면 용정리 35
에덴농장,토종닭,75000,전라북도 정읍시 소성면 화룡리 551-1
자연농장,육계,100000,전라북도 정읍시 소성면 기린리 408
복도리농장,육계,60000,전라북도 정읍시 소성면 애당리 1392-8
다산농장,육계,115000,전라북도 정읍시 소성면 고교리 664-3
본촌농장,육용오리,40000,전라북도 정읍시 소성면 고교리 230-1
삼호농장1,육용오리,33500,전라북도 정읍시 소성면
삼호농장2,육용오리,39700,전라북도 정읍시 소성면
삼호농장3,육용오리,22100,전라북도 정읍시 소성면
삼호농장4,육용오리,20000,전라북도 정읍시 소성면
이안농장,육계,100000,전라북도 정읍시 소성면 기린리 463
덕앤덕농장,종오리,3000,전라부도 정읍시 소성면 애당리 177-2
종암오리농장,육용오리,5300,전라북도 정읍시 소성면 화룡리 216
시우농장,육계,90000,전라북도 정읍시 고부면 영주로
고부농장,산란중추,90000,전라북도 정읍시 고부면 덕안리 123-1
숙경농장,토종닭,48000,전라북도 정읍시 고부면 덕안리 6-35
자영농장,토종닭,30000,전라북도 정읍시 고부면 덕안리 산39-6
고부농장,토종닭,20000,전라북도 정읍시 고부면 덕안리 123-1
고부농장,토종닭,30000,전라북도 정읍시 고부면 덕안리 123-1
복주농장,토종닭,25000,전라북도 정읍시 고부면 입석리 67-8
만수양계장,육계,57000,전라북도 정읍시 고부면 만수리 60-3
대원농장,육닭,45000,전라북도 정읍시 소성면 등계리 170-2
희망농장,육계,52000,전라북도 정읍시 고부면 백운리 1131-7
청솔농장,육계,40000,전라북도 정읍시 고부면 신중리 440-1
대원농장,토종닭,40000,전라북도 정읍시 소성면 등계리 170-2
황금농장,육계,50000,전라북도 정읍시 고부면 신흥리 1089
경임농장,육계,50000,전라북도 정읍시 고부면 신흥리 112-1
선임농장,육계,90000,전라북도 정읍시 고부면 신흥리 1066
승주농장,토종닭,42000,전라북도 정읍시 고부면 입석리 58-2
㈜다농,산란중추,24000,전라북도 정읍시 고부면
성봉산닭,토종닭,1000,전라북도 정읍시 고부면 영원로 292-3
안성농장,육계,45000,전라북도 정읍시 고부면 관청리 1297
서진농장,육계,100000,전라북도 정읍시 고부면 관청리 1024
닥터팜,토종닭,70000,전라북도 정읍시 고부면 백운리 587-13
진흥농장,육계,16000,전라북도 정읍시 고부면 관청리 1278
만화농장,육계,12000,전라북도 정읍시 고부면 관청리 1286
만화농장,육계,17500,전라북도 정읍시 고부면 관청리 1286
태웅농장,육계,15000,전라북도 정읍시 고부면 관청리 1295
태봉농장,육용오리,7000,전라북도 정읍시 고부면 만수리 68-2
정성농장,육계,13000,전라북도 정읍시 고부면 용흥리 1058
용흥오리,육용오리,14000,전라북도 정읍시 고부면 용흥리 1121
금빛농장,육용오리,9000,전라북도 정읍시 고부면 용흥리 646
청담농장,육계,70000,전라북도 정읍시 고부면 입석리 726-3(구중길12-83)
한성농장,육용오리,28000,전라북도 정읍시 고부면 입석리 산2
종태농장,육계,35000,전라북도 정읍시 영원면 신영리 249
영원축산,토종닭,3000,전라북도 정읍시 영원면 앵성1길 16
도원축산,육계,200000,전라북도 정읍시 영원면 청량길 39-45
영원종계장,종계,30000,전라북도 정읍시 영원명 앵성리 269-1
은선1농장,육용오리,10000,전라북도 정읍시 영원면 영원로 960-24
은선2농장,육용오리,12000,전라북도 정읍시 영원면 영원로 960-24
임마누엘농장,토종닭,94000,전라북도 정읍시 영원면
세현농장,육계,68000,전라북도 정읍시 영원면 태평길 67
㈜온누리,토종닭,38000,전라북도 정읍시 영원면 영원로 1290
금호2농장,육용오리,24000,전라북도 정읍시 영원면 앵성2길 106-16
금호농장,육용오리,23000,전라북도 정읍시 영원면 앵성2길 106-16
승운농장,육계(삼계),70000,전라북도 정읍시 덕천면 도계리 131-13
복주농장,토종닭,58000,전라북도 정읍시 고부면 입석리 67-8
상봉농장,육계,50000,전라북도 정읍시 덕천면 도계리 958
금계농장,삼계,140000,전라북도 정읍시 덕천면 금계1길 127
대성농장,육계,65000,전라북도 정읍시 덕천면 상학리 산13-1
송부자농장,삼계,80000,전라북도 정읍시 덕천면 상학리 1001
임씨농장,육용오리,10500,전라북도 정읍시 덕천면 하학리 556-7
에이플농장,토종닭,35000,전라북도 정읍시 이평면 장내리 577-4
다원농장,토종닭,80000,전라북도 정읍시 이평면 장내리 616-4
시온종계장,종계,30000,전라북도 정읍시 이평면 요골길 24
조안농장,산란계,50000,전라북도 정읍시 이평면 창동리 629-3
재주농장,육계,140000,전라북도 정읍시 이평면 창동리 697-3
매봉농장,육계,75000,전라북도 정읍시 이평면 창동리 705-12
이수농장,육계,66600,전라북도 정읍시 이평면 태평길 207-54
미소농장,육계,223000,전라북도 정읍시 이평면 청량리 905
동원농장,육계,25000,전라북도 정읍시 이평면 장내리 56-1
기봉농장,육용오리,20000,전라북도 정읍시 이평면 장내리 884
현택농산,육용오리,15900,전라북도 정읍시 이평면 창동리 713-6
한길타조농장,타조,95,전라북도 정읍시 이평면 창동리 713-2
우리농장,종계,42000,전라북도 정읍시 이평면 팔선리 307
주원농장,육계,95000,전라북도 정읍시 이평면 산매리 137
지성농장,토종닭,35000,전라북도 정읍시 정우면 우산리 286-28
바둑이농장,삼계,87000,전라북도 정읍시 정우면 장순리 219-12
거래상인,토종닭,250,전라북도 정읍시 입암면 하부리 749-1
이안농장,삼계,75000,전라북도 정읍시 소성면 기린리 463
양지농장,삼계,85000,전라북도 정읍시 정우면 장순리 200-7
창민농장,삼계,63000,전라북도 정읍시 정우면 장순리 239-3
송내농장,육계,70000,전라북도 정읍시 정우면 장순리 79
요동농장,산란중추,30000,전라북도 정읍시 정우면 장순리 13-7
무염농장,육계,74000,전라북도 정읍시 정우면 초강리 1146-3
모리아농장,육계,68000,전라북도 정읍시 정우면 회룡리 423-2
임마뉴엘,육용오리,14000,전라북도 정읍시 정우면
한우리농장,육용오리,18000,전라북도 정읍시 정우면 대사리 1574
우일농장,종오리,10000,전라북도 정읍시 정우면 정우남산길 56-111
민정농장2,토종닭,65000,전라북도 정읍시 태인면
유봉2농장,육계,55000,전라북도 정읍시 태인면 고천리 316-3, 315-2
영원농장,육계,100000,전라북도 정읍시 태인면 고천리 758
대행영농,종계,46000,전라북도 정읍시 태인면
형동농장,삼계,80000,전라북도 정읍시 태인면 박산리 619
승승농장,육계,40000,전라북도 정읍시 태인면 박산리 산144-2
충환농장,토종닭,40000,전라북도 정읍시 태인면 증산리 171
하증농장,육계,45000,전라북도 정읍시 태인면
준서네농장,토종닭,43000,전라북도 정읍시 태인면 증산리 221
창섭농장,삼계,60000,전라북도 정읍시 태인면 태남리 383
헵시바농장,육계,70800,전라북도 정읍시 태인면 태서리 1409-2
태인팜스,육계,40000,전라북도 정읍시 태인면
동화농장,육계,90000,전라북도 정읍시 태인
