거점소독장소순번,거점소독장소명,주소,운영시간,담당자_전화번호,경도,위도
"4835","목천동 거점소독시설(1거점 농수산물도매시장)","전북특별자치도 익산시 목천동 0916-0004","00:00 ~ 24:00","063-859-7241","126.91772",35.91731
"4810","양주시 축산차량 거점소독소","경기도 양주시 봉양동 0891-0003","04:00 ~ 22:00","031-8082-7291","127.06124",37.85914
"4807","태백시 거점소독시설","강원특별자치도 태백시 황지동 0288-0005","07:00 ~ 15:00","033-550-3857","128.98672",37.205
"4805","동량면 거점소독소","충청북도 충주시 동량면 용교리 88-7","00:00 ~ 24:00","043-850-5874","127.92347",37.02785
"4802","창녕군거점소독시설","경상남도 창녕군 창녕읍 하리 0421-0002","00:00 ~ 24:00","055-530-6103","128.48288",35.56272
"4801","고성군 거점소독시설","강원특별자치도 고성군 토성면 아야진리 0478-0004","06:00 ~ 22:00","033-680-3721","128.54712",38.27162
"4800","흥덕 사료공장 거점소독시설","전북특별자치도 고창군 흥덕면 신덕리 0035-0006","00:00 ~ 24:00","063-560-2619","126.69581",35.55677
"4783","당진 신평 거점소독시설(신평초소)","충청남도 당진시 신평면 상오리 1045-0001","00:00 ~ 24:00","041-350-4247","126.75547",36.86927
"4778","영천시거점소독시설","경상북도 영천시 작산동 0231-0001","00:00 ~ 24:00","054-339-7174","128.95006",35.94043
"4743","청도군거점소독시설","경상북도 청도군 청도읍 월곡리 0427-0000","00:00 ~ 24:00","054-370-6557","128.75782",35.63116
"4735","제주동물검역센터","제주특별자치도 제주시 건입동 0908-0001","05:00 ~ 19:00","064-710-8552","126.54339",33.52334
"4724","원주시 신림 거점소독시설","강원특별자치도 원주시 신림면 용암리 1355-0000","05:00 ~ 17:00","033-737-4407","128.09483",37.21018
"4721","장수 거점소독시설","전북특별자치도 장수군 계남면 호덕리 0556-0004","00:00 ~ 24:00","063-350-2426","127.58116",35.7267
"4707","거창군 거점소독시설","경상남도 거창군 거창읍 대평리 0554-0011","00:00 ~ 00:00","055-940-8142","127.92276",35.67802
"4706","목포시 거점소독시설","전라남도 목포시 대양동 0336-0001","00:00 ~ 24:00","061-270-8472","126.42095",34.83676
"4689","하림전용","전북특별자치도 익산시 망성면 어량리 0013-0014","00:00 ~ 24:00","-","127.04089",36.07677
"4687","칠곡군 거점소독시설","경상북도 칠곡군 지천면 연호리 산0141-0023","04:00 ~ 20:00","-","128.51272",35.91931
"4686","청송군 거점소독시설","경상북도 청송군 현서면 구산리 0219-0005","00:00 ~ 24:00","-","128.89795",36.27099
"4684","의성군 거점소독시설","경상북도 의성군 단촌면 방하리 0030-0001","00:00 ~ 24:00","054-830-6289","128.572",36.30726
"4683","울진군 거점소독시설","경상북도 울진군 매화면 매화리 0408-0000","06:00 ~ 22:00","054-789-6793","129.38357",36.9281
"4682","예천군 거점소독시설","경상북도 예천군 예천읍 청복리 0102-0001","00:00 ~ 24:00","-","128.47543",36.6347
"4678","영주시 거점소독시설","경상북도 영주시 장수면 갈산리 0035-0000","00:00 ~ 24:00","0546397355","128.57035",36.77506
"4677","영양군 거점소독시설","경상북도 영양군 입암면 산해리 0758-0000","00:00 ~ 24:00","-","129.05748",36.59602
"4676","영덕군 거점소독시설","경상북도 영덕군 영덕읍 화수리 0592-0000","00:00 ~ 24:00","-","129.37672",36.42606
"4674","성주군 거점소독시설","경상북도 성주군 대가면 옥성리 0356-0000","00:00 ~ 24:00","054-930-6683","128.2468",35.91422
"4670","김천시 거점소독시설","경상북도 김천시 구성면 하강리 0140-0000","04:00 ~ 20:00","054-421-2521","128.09855",36.08332
"4668","고령군 거점소독시설","경상북도 고령군 성산면 기산리 0047-0000","00:00 ~ 24:00","-","128.33185",35.74263
"4664","초평면 거점소독소","충청북도 진천군 초평면 용정리 0213-0001","00:00 ~ 24:00","043-539-3593","127.53275",36.83291
"4659","함안군 거점소독시설","경상남도 함안군 가야읍 가야리 0123-0011","03:00 ~ 24:00","055-580-4472","128.38718",35.27197
"4657","통영시 거점소독시설","경상남도 통영시 광도면 죽림리 0417-0000","09:00 ~ 18:00","-","128.4124",34.87515
"4656","남해읍 거점소독시설","경상남도 남해군 남해읍 평리 1187-0002","06:00 ~ 24:00","0558603973","127.89603",34.83048
"4654","산청군 거점소독시설","경상남도 산청군 산청읍 지리 0821-0000","09:00 ~ 18:00","-","127.88776",35.41437
"4653","밀양 거점소독시설","경상남도 밀양시 상남면 예림리 1510-0000","00:00 ~ 24:00","055-359-7180","128.75431",35.46125
"4647","합천군 야로 거점소독시설","경상남도 합천군 야로면 야로리 0361-0000","00:00 ~ 24:00","055-930-3565","128.16724",35.71373
"4645","의령군 거점소독시설","경상남도 의령군 용덕면 교암리 0316-0001","00:00 ~ 24:00","055-570-4202","128.28645",35.32849
"4643","합천군 율곡 거점소독시설","경상남도 합천군 율곡면 임북리 0570-0001","00:00 ~ 24:00","055-930-3565","128.17631",35.57542
"4640","창원시 의창구 거점소독시설","경상남도 창원시 의창구 동읍 봉곡리 0176-0001","06:00 ~ 21:00","055-225-5681","128.66423",35.35299
"4633","하동 거점소독시설","경상남도 하동군 진교면 안심리 0229-0003","00:00 ~ 24:00","055-880-2438","127.87631",35.02145
"4623","사천시 거점소독시설","경상남도 사천시 축동면 배춘리 0615-0003","00:00 ~ 24:00","055-831-3781","128.09279",35.10033
"4620","김해시 한림 거점소독시설","경상남도 김해시 한림면 명동리 0934-0000","02:00 ~ 20:00","055-350-4156","128.81623",35.28818
"4575","문경시 거점소독시설","경상북도 문경시 불정동 0085-0001","00:00 ~ 24:00","054-550-6275","128.14318",36.64826
"4552","양양군 거점소독시설","강원특별자치도 양양군 현남면 지경리 0001-0028","06:00 ~ 18:00","033-670-2706","128.80746",37.91819
"4544","인제군 거점소독시설","강원특별자치도 인제군 남면 어론리 0834-0001","00:00 ~ 24:00","033-460-2473","128.0635",37.93884
"4542","양구군 거점소독시설","강원특별자치도 양구군 국토정중앙면 청리 1131-0011","06:00 ~ 20:00","033-480-7781","128.02912",38.10702
"4540","화천군 광덕리 통제초소","강원특별자치도 화천군 사내면 광덕리 1139-0030","00:00 ~ 24:00","033-440-2942","127.48421",38.07907
"4538","화천군 거점소독시설","강원특별자치도 화천군 상서면 신풍리 0796-0000","00:00 ~ 24:00","033-440-2942","127.6825",38.11656
"4529","철원군 거점소독시설","강원특별자치도 철원군 갈말읍 강포리 0002-0006","00:00 ~ 24:00","033-450-4826","127.29958",38.12883
"4528","정선군 거점소독시설","강원특별자치도 정선군 정선읍 광하리 0959-0004","06:00 ~ 22:00","033-560-2446","128.58661",37.3579
"4527","평창군 거점소독시설","강원특별자치도 평창군 용평면 장평리 0274-0006","00:00 ~ 24:00","033-330-1334","128.4188",37.57749
"4519","영월군 거점소독시설","강원특별자치도 영월군 남면 북쌍리 0193-0000","06:00 ~ 20:00","033-370-2301","128.41259",37.2097
"4517","횡성군 거점소독시설","강원특별자치도 횡성군 횡성읍 조곡리 0442-0001","00:00 ~ 24:00","033-340-2390","128.01323",37.49391
"4496","삼척시 거점소독시설","강원특별자치도 삼척시 등봉동 0303-0003","00:00 ~ 24:00","033-570-3398","129.1177",37.45702
"4494","강릉시 거점소독시설","강원특별자치도 강릉시 구정면 어단리 0478-0027","00:00 ~ 24:00","033-640-5591","128.89932",37.6979
"4491","원주시 호저 거점소독시설","강원특별자치도 원주시 호저면 주산리 0727-0006","05:00 ~ 17:00","033-737-4407","127.92198",37.42274
"4460","봉화군거점소독시설","경상북도 봉화군 봉화읍 적덕리 1148-0","00:00 ~ 24:00","054-679-6867","128.68845",36.87991
"4446","보은군 거점소독소","충청북도 보은군 보은읍 어암리 0312-0004","00:00 ~ 24:00","043-540-3542","127.73356",36.48299
"4434","경주시 제2기 거점소독시설","경상북도 경주시 율동 0518-0010","05:00 ~ 21:00","054-779-6301","129.18999",35.80897
"4432","구미시 거점소독시설","경상북도 구미시 선산읍 생곡리 1348-0000","04:00 ~ 20:00","054-480-5833","128.33282",36.27223
"4411","당진 합덕 거점세척소독시설(합덕초소)","충청남도 당진시 합덕읍 운산리 0683-0009","00:00 ~ 24:00","041-350-4247","126.75835",36.81024
"4410","음암 거점소독시설","충청남도 서산시 음암면 문양리 0234-0041","00:00 ~ 24:00","041-660-3971","126.52287",36.82415
"4301","팔봉거점소독시설","충청남도 서산시 팔봉면 어송리 0811-0000","05:00 ~ 15:00","041-660-3971","126.35931",36.79195
"4299","강화군 상시거점소독시설","인천광역시 강화군 선원면 냉정리 1315-0001","00:00 ~ 24:00","032-930-4531","126.47314",37.70177
"4298","양평군 거점세척소독시설(평일)","경기도 양평군 옥천면 옥천리 0006-0000","05:00 ~ 13:00","031-770-2334","127.48102",37.51871
"4297","모가면 거점 및 이동통제초소","경기도 이천시 모가면 원두리 0256-0002","04:00 ~ 20:00","031-644-2645","127.47777",37.18091
"4248","진도군 거점소독시설","전라남도 진도군 군내면 녹진리 0050-4","00:00 ~ 24:00","061-540-6343","126.29712",34.57158
"4247","동막리 거점소독소","경기도 연천군 연천읍 동막리 0431-0020","00:00 ~ 24:00","031-839-2327","127.07866",38.08467
"4246","가평군 거점소독소","경기도 가평군 가평읍 승안리 0124-0004","00:00 ~ 24:00","031-580-4765","127.49922",37.84603
"4199","삼성거점소독소","충청북도 음성군 삼성면 천평리 13-19","00:00 ~ 24:00","043-871-3712","127.52125",36.98026
"4194","군외거점소독시설","전라남도 완도군 군외면 원동리 0929-0001","05:00 ~ 21:00","061-550-5726","126.6294",34.40066
"4187","연풍거점세척소독소","충청북도 괴산군 연풍면 적석리 28-55","00:00 ~ 24:00","043-830-3232","127.98574",36.76502
"4183","논산시거점소독","충청남도 논산시 부적면 덕평리 26-1","00:00 ~ 24:00","041-746-6112","127.15372",36.20142
"4179","누산리 거점세척소독시설","경기도 김포시 양촌읍 누산리 1063-137","04:00 ~ 20:00","031-5186-4314","126.660411",37.680459
"4165","안평초소","부산광역시 기장군 철마면 안평리 0584-0094","06:00 ~ 22:00","051-709-2891","129.16973",35.23629
"4163","천안시 목천 거점소독시설","충청남도 천안시 동남구 목천읍 삼성리 161-6","04:00 ~ 20:00","041-521-5729","127.17257",36.75986
"4116","정읍시(용계동)","전북특별자치도 정읍시 용계동 739-2","00:00 ~ 24:00","063-539-6387","126.80433",35.58879
"3433","제주거점소독센터","제주특별자치도 제주시 한림읍 금악리 0545-0000","06:00 ~ 19:00","064-728-3413","126.31003",33.34821
"3429","남원 가축시장","전북특별자치도 남원시 조산동 573-0","00:00 ~ 24:00","063-620-6421","127.35817",35.39669
"3306","상명거점초소","제주특별자치도 제주시 한림읍 상명리 2034-8","05:00 ~ 20:00","064-728-3413","126.26441",33.35726
"3301","경산시거점소독시설(하양)","경상북도 경산시 하양읍 한사리 1202-0000","05:00 ~ 21:00","053-810-6736","128.83249",35.92592
"3288","백암1거점초소","경기도 용인시 처인구 백암면 근곡리 34-3","00:00 ~ 24:00","031-324-2324","127.36298",37.17005
"3116","포천4초소","경기도 포천시 신북면 만세교리 264-1","00:00 ~ 24:00","031-538-3874","127.24056",37.95486
"3114","포천1초소","경기도 포천시 영중면 영송리 0619-0000","00:00 ~ 24:00","031-538-3874","127.20574",37.99759
"3017","안산시 거점소독시설(평일)","경기도 안산시 상록구 사동 1584-0000","13:00 ~ 18:00","031-481-2323","126.84452",37.30092
"3002","고흥 거점소독소1","전라남도 고흥군 동강면 한천리 0726-0001","00:00 ~ 24:00","061-830-5830","127.3485",34.81493
"2975","광천 우시장 거점세척소독시설","충청남도 홍성군 광천읍 신진리 222-1","02:00 ~ 18:00","041-630-1747","126.62248",36.51807
"2974","홍성읍 거점세척소독시설","충청남도 홍성군 홍성읍 고암리 819-19","02:00 ~ 18:00","041-630-1747","126.67274",36.58402
"2941","적성교차로","경기도 파주시 적성면 두지리 0061-0023","05:00 ~ 18:00","031-940-4503","126.89937",37.96669
"2938","시흥시 거점소독소","경기도 시흥시 하중동 0271-0000","09:00 ~ 18:00","031-310-2323","126.80839",37.40083
"2894","부여 거점소독시설","충청남도 부여군 석성면 증산리 1137-0003","00:00 ~ 24:00","041-830-3867","126.99999",36.246
"2885","상시거점세척소독시설(우성)","충청남도 공주시 우성면 목천리 0993-0000","00:00 ~ 24:00","041-840-3482","127.13228",36.49249
"2868","금악거점초소","제주특별자치도 제주시 한림읍 금악리 762-3","05:00 ~ 20:00","064-728-3413","126.31228",33.37534
"2861","강서구 거점소독시설","부산광역시 강서구 대저1동 1730-2","09:00 ~ 18:00","051-970-4814","128.94873",35.21553
"2860","울주군 거점소독세척시설","울산광역시 울주군 삼남읍 교동리 0234-0000","05:00 ~ 21:00","052-204-1632","129.12599",35.55899
"2829","신안군 압해 거점소독장소","전라남도 신안군 압해읍 신용리 92-0","00:00 ~ 24:00","061-240-8381","126.30758",34.87342
"2688","곡성 거점소독,통제시설","전라남도 곡성군 삼기면 의암리 35-5","00:00 ~ 24:00","061-360-8371","127.22284",35.22739
"2675","부안군(행안)","전북특별자치도 부안군 행안면 진동리 0970-0001","00:00 ~ 24:00","063-580-4252","126.72602",35.7007
"2674","가남초소","전북특별자치도 순창군 순창읍 가남리 0007-0004","06:00 ~ 22:00","063-650-5638","127.15308",35.35745
"2664","군산시(동우)","전북특별자치도 군산시 서수면 관원리 0507-0001","00:00 ~ 24:00","063-454-2875","126.8772",36.0106
"2659","대정거점소독센터","제주특별자치도 서귀포시 대정읍 동일리 0233-0000","05:00 ~ 20:00","064-760-2793","126.24034",33.26079
"2649","동두천시 거점소독시설(농업기술정보센터 옆)","경기도 동두천시 상패동 307-7","04:00 ~ 22:00","031-860-2314","127.04358",37.89664
"2645","진안 거점소독시설(진안IC)","전북특별자치도 진안군 진안읍 단양리 산0052-0001","06:00 ~ 22:00","063-432-8039","127.42997",35.77584
"2640","통제 및 거점소독시설","전라남도 보성군 보성읍 쾌상리 1361-0","00:00 ~ 24:00","061-850-5411","127.069599",34.746061
"2611","화순군 이동통제초소(거점소독장소)","전라남도 화순군 화순읍 다지리 0444-0002","00:00 ~ 24:00","061-379-3656","126.95281",35.01536
"2604","여수시 통제초소 및 거점소독시설","전라남도 여수시 주삼동 0775-0000","06:00 ~ 22:00","061-659-4443","127.6538",34.78771
"2603","기계 거점소독시설","경상북도 포항시 북구 기계면 내단리 329-0","04:00 ~ 20:00","054-270-2723","129.22229",36.06565
"2573","고양시 농업기술센터(거점소독시설)","경기도 고양시 덕양구 원흥동 471-10","06:00 ~ 22:00","031-8075-4607","126.8698",37.64952
"2560","미원면 거점소독소","충청북도 청주시 상당구 미원면 미원리 297-0","00:00 ~ 24:00","043-201-0766","127.65845",36.63569
"2532","순천시 거점소독시설","전라남도 순천시 대룡동 900-0","00:00 ~ 24:00","061-749-8717","127.48669",34.90956
"2527","개군 거점소독시설","경기도 양평군 개군면 공세리 0381-0025","13:00 ~ 21:00","031-770-2334","127.5283",37.46347
"2499","황산 가축시장","전북특별자치도 김제시 황산면 진흥리 0253-0016","00:00 ~ 24:00","063-540-3689","126.9653",35.79085
"2466","강진군 거점소독시설","전라남도 강진군 군동면 호계리 965-0","00:00 ~ 24:00","061-430-3244","126.7834",34.63688
"2463","경산시거점소독시설(자인)","경상북도 경산시 자인면 북사리 502-0","00:00 ~ 24:00","053-810-6736","128.81289",35.81673
"2454","장흥거점소독시설","전라남도 장흥군 장흥읍 순지리 0112-0001","00:00 ~ 24:00","061-860-6712","126.88756",34.66347
"2448","전의면 거점소독시설","세종특별자치시  전의면 유천리 0438-0003","04:00 ~ 20:00","044-300-7636","127.17455",36.68419
"2442","앙성면 거점소독소","충청북도 충주시 앙성면 능암리 217-0","00:00 ~ 24:00","043-850-5874","127.82582",37.07884
"2432","신니면 거점소독소","충청북도 충주시 신니면 대화리 86-5","00:00 ~ 24:00","043-850-5874","127.67985",37.00319
"2366","파주시농업기술센터","경기도 파주시 아동동 91-6","05:00 ~ 18:00","031-940-4503","126.79529",37.76421
"2304","영암군도포거점소독초소","전라남도 영암군 도포면 성산리 0097-1","00:00 ~ 24:00","061-470-2040","126.68836",34.86303
"2206","팽성거점소독소","경기도 평택시 팽성읍 석근리 142-1","04:00 ~ 20:00","031-692-1836","127.04912",36.94111
"2171","북이면사무소","충청북도 청주시 청원구 북이면 신대리 0003-0000","00:00 ~ 24:00","043-201-0768","127.54275",36.73954
