연번,사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적
164,신창농장,종계/산란계,충청남도 아산시 신창면 궁화리 166-20,충청남도 아산시 신창면 학성로 24-45,48000,6,2711
165,수장농장,육계,충청남도 아산시 신창면 수장리 275-11,충청남도 아산시 신창면 수장로 93,30000,3,2700
171,연호농장,종계/산란계,충청남도 아산시 둔포면 신양리 76-1,충청남도 아산시 둔포면 관용로 238,6500,2,1488
172,곡부농장,종계/산란계,충청남도 아산시 둔포면 신양리 217,,8000,2,920.4
178,한미농장,종계/산란계,충청남도 아산시 음봉면 덕지리 26-4,충청남도 아산시 음봉면 음봉로681번길 47,42406,4,7572.8
187,그린농장,종계/산란계,충청남도 아산시 음봉면 산정리 204-2 외 1필지(204-3),,4000,3,1368.28
252,삼진농장,육계,충청남도 아산시 인주면 도흥리 1-6,충청남도 아산시 인주면 도흥길110번길 96,50000,2,2302
253,성윤농원,종계/산란계,충청남도 아산시 신창면 가내리 380-1,충청남도 아산시 신창면 서부북로 196-17,20000,3,1728
268,수봉농원,종계/산란계,충청남도 아산시 음봉면 동천리 85-1,충청남도 아산시 음봉면 충무로604번길 59-1,50000,6,2071
270,신창농장,종계/산란계,충청남도 아산시 신창면 가내리 978,,24000,1,2520
271,보리원농장,종계/산란계,충청남도 아산시 인주면 모원리 189-외 3필지(189-1/190/190-1),"충청남도 아산시 인주면 아산로1312번길 91  (외3필지(189-1,190,190-1))",18000,9,2528.04
297,동준농장,종계/산란계,충청남도 아산시 인주면 해암리 11-9,충청남도 아산시 인주면 인주로 214-3,8000,3,503.94
305,평택농장,육계,충청남도 아산시 둔포면 신양리 305-15,,23680,7,2368
308,현민농장,육계,충청남도 아산시 신창면 가덕리 44-1,충청남도 아산시 신창면 서부북로581번길 28-86,55000,5,2959
319,염치농장,종계/산란계,충청남도 아산시 염치읍 쌍죽리 89,충청남도 아산시 염치읍 쌍죽길 103,25000,3,2520
325,재연농장,육계,충청남도 아산시 염치읍 중방리 95-10,충청남도 아산시 염치읍 현대로 119-34,60000,2,2436
330,건강마을,종계/산란계,충청남도 아산시 둔포면 봉재리 159-14,충청남도 아산시 둔포면 봉신로 98-51,9000,3,1157
342,현광2농장,육계,충청남도 아산시 장존동 산38-35,,45000,6,2976
344,현대농장,육계,충청남도 아산시 음봉면 신정리 11-1,,30000,2,1058
406,영월농장,육계,충청남도 아산시 배방읍 북수리 472-4,,70000,7,4084
429,신명축산,육계,충청남도 아산시 선장면 죽산리 121-3,충청남도 아산시 선장면 학성로 150,60000,6,2428
457,농업회사법인주식회사계림농장,종계/산란계,충청남도 아산시 신창면 읍내리 39-3,충청남도 아산시 신창면 서부남로 771,120000,4,13334
477,산들농장,육계,충청남도 아산시 염치읍 산양리 584,충청남도 아산시 염치읍 현대로 687-73,50000,7,2718
480,기림농장,육계,충청남도 아산시 배방읍 북수리 528-2,충청남도 아산시 배방읍 북수북길 69-20,50000,6,3312.6
482,농업회사법인 주식회사 뉴코리아,육계,충청남도 아산시 도고면 화천리 143-21,충청남도 아산시 도고면 벚꽃로708번길 96,23000,1,1053
485,거해농장,육계,충청남도 아산시 신창면 가덕리 1015,충청남도 아산시 신창면 현대로 507-94,75000,3,3813.44
506,진수농장,육계,충청남도 아산시 선장면 죽산리 331-1,,500,2,148.8
508,금산농장,종계/산란계,충청남도 아산시 영인면 신운리 128,충청남도 아산시 영인면 토정로120번길 110,34000,2,2209.64
512,창의농장,육계,충청남도 아산시 도고면 시전리 350-1,,80000,6,5353.35
513,시전농장,육계,충청남도 아산시 도고면 금산리 산 28-1 도고면 금산리 69-2 69-1,충청남도 아산시 도고면 온천대로222번길 100,38000,5,2309.1
516,원농장,육계,충청남도 아산시 신창면 남성리 693,충청남도 아산시 신창면 신달길 138-28,300000,6,7025
525,농업회사법인 에이치비(주)예산농장,메추리,충청남도 아산시 도고면 효자리 13-1,충청남도 아산시 도고면 벚꽃로694번길 81-50,320000,4,1718
534,서유농원,종계/산란계,충청남도 아산시 둔포면 관대리 65-3,충청남도 아산시 둔포면 충무로 1588-40,18000,5,1920
535,초원농원,종계/산란계,충청남도 아산시 음봉면 산정리 223,충청남도 아산시 음봉면 아산온천로 341-57,67720,4,4792.08
539,향원농장,육계,충청남도 아산시 신창면 남성리 675-1,충청남도 아산시 신창면 신달길 134,50000,2,2616
562,금반농원,오리,충청남도 아산시 신창면 행목리 429-3,,8000,6,2160
576,알로찬농장,육계,충청남도 아산시 신창면 오목리 236-1,충청남도 아산시 신창면 오목안길 26-14,14000,2,1419
577,상미농장,육계,충청남도 아산시 도고면 금산리 69-6 외 1필지,,50000,5,2652
579,청송농원,육계,충청남도 아산시 배미동 185-1,,40000,4,2062
585,감나무집,육계,충청남도 아산시 탕정면 용두리 15-1,충청남도 아산시 탕정면 꾀꼴성길 274,50,1,51
586,산마루식당,육계,충청남도 아산시 도고면 농은리 298,충청남도 아산시 도고면 도고산로 8,30,1,30
587,성내가든,육계,충청남도 아산시 영인면 성내리 459-5,충청남도 아산시 영인면 고룡산로 485,30,1,16.5
588,호반 토종닭,육계,충청남도 아산시 염치읍 동정리 33,충청남도 아산시 염치읍 충무로431번길 62,50,1,33
591,우림농원,종계/산란계,충청남도 아산시 선장면 죽산리 103-5,충청남도 아산시 선장면 죽산길 28-81,40000,10,4100
596,초원충남사료 영농조합법인(아산지소),종계/산란계,충청남도 아산시 둔포면 신양리 255-2,충청남도 아산시 둔포면 관용로 199,15000,2,1344.84
606,디와이팜,종계/산란계,충청남도 아산시 신창면 오목리 143-24,충청남도 아산시 신창면 서부남로 720,470000,8,24888
611,고령농장,육계,충청남도 아산시 영인면 신봉리 95-12,충청남도 아산시 영인면 윤보선로 97,14338,3,1438.84
623,창원농장,육계,충청남도 아산시 둔포면 신양리 218-1,충청남도 아산시 둔포면 봉신로229번길 55-11,25000,5,1442
625,초록농장,종계/산란계,충청남도 아산시 선장면 군덕리 459-7,충청남도 아산시 선장면 아산만로 611-34,200,2,52
671,부활농장,종계/산란계,충청남도 아산시 음봉면 산정리 27,충청남도 아산시 음봉면 고룡산로 100,20000,1,1647
675,통일청란,종계/산란계,충청남도 아산시 둔포면 산전리 390-8,,12700,4,1255.1
691,금강농장,종계/산란계,충청남도 아산시 음봉면 원남리 15-5,충청남도 아산시 음봉면 연암산로 237-63,21400,2,1985.82
696,융진농장,육계,충청남도 아산시 도고면 효자리 143-21외 2필지,충청남도 아산시 도고면 벚꽃로708번길 96 (외2필지),110000,5,4887
697,보광농원,종계/산란계,충청남도 아산시 신창면 궁화리 145,,0,5,1734.78
709,칠목농장,육계,충청남도 아산시 신창면 행목리 311-1 외 7필지(98/98-1/101/310/311/311-2/311-9),,45000,3,2675.86
722,상일농장,육계,충청남도 아산시 둔포면 염작리 125-1,,80000,4,4341.6
