번호,사업장명,주사육업종,소재지전체주소,사육두수,최종수정시점
305,명섭농장,오리,충청남도 천안시 동남구 병천면 봉항리 ***번지 *호 외 *필지(***-*) ,16400 ,2025-11-28
316,불당농장,육계,충청남도 천안시 서북구 불당동 ***번지 *호  ,2000 ,2025-11-28
319,천안제일고 제2농장,종계/산란계,충청남도 천안시 동남구 수신면 장산리 산 **번지 *호  ,3960 ,2025-11-28
324,성록농장,육계,충청남도 천안시 동남구 성남면 신덕리 ***번지  ,72000 ,2025-11-28
326,토종꼬꼬1농장,종계/산란계,충청남도 천안시 동남구 풍세면 삼태리 ***번지 *호  ,10000 ,2025-11-28
329,장자농장,육계,충청남도 천안시 동남구 동면 화덕리 ***번지 *호  ,30000 ,2025-11-28
352,흥인농장,종계/산란계,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호  ,34944 ,2025-11-28
354,진원농장,종계/산란계,"충청남도 천안시 동남구 병천면 도원리 ***번지 외 *필지(***-*, ***-*, ***-*, ***, ***-*, ***-*) ",23432 ,2025-11-28
369,금잔디농원,육계,충청남도 천안시 동남구 병천면 병천리 ***번지 ***호  ,36720 ,2025-11-28
390,금버들축산,육계,"충청남도 천안시 동남구 병천면 봉항리 ***번지 *호 외 *필지(***-*, ***-*) ",52800 ,2025-11-28
398,문화농장,육계,충청남도 천안시 동남구 성남면 석곡리 **번지 **호 외 *필지(**-**) ,100000 ,2025-11-28
406,애플축산,종계/산란계,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,13000 ,2025-11-28
410,삼보농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,197280 ,2025-11-28
414,로하농장,종계/산란계,충청남도 천안시 동남구 병천면 도원리 ***번지 *호 외 ***-* ,36675 ,2025-11-28
415,형제농장,산란육성계,"충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호 외*(***-*,*, ***-**,**,**) ",86400 ,2025-11-28
416,한오리농장,오리,충청남도 천안시 동남구 동면 덕성리 ***번지 *호  ,12000 ,2025-11-28
431,아우내농장,오리,"충청남도 천안시 동남구 병천면 도원리 ***번지 외*필지(***-*,***) ",12341 ,2025-11-28
434,이레농장,종계/산란계,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,94600 ,2025-11-28
437,한빛농장,종계/산란계,"충청남도 천안시 서북구 입장면 가산리 *번지 *호 *-*, *-*, **-** ",360000 ,2025-11-28
443,주현2농장,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 **번지 *호  ,129000 ,2025-11-28
455,석곡농장,오리,충청남도 천안시 동남구 성남면 대흥리 **번지 *호  ,24878 ,2025-11-28
456,모산농장,오리,충청남도 천안시 동남구 동면 동산리 *번지 *호 외*필지 ,15000 ,2025-11-28
458,정필농장,육계,"충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외 *(**-*,**,**) ",176465 ,2025-11-28
459,가송농장,육계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,33000 ,2025-11-28
460,번영농장,육계,충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외*필지 ,125873 ,2025-11-28
461,성환축산,육계,충청남도 천안시 서북구 성환읍 신가리 ***번지 *호  ,75000 ,2025-11-28
462,다원농장,육계,"충청남도 천안시 동남구 목천읍 운전리 **번지 *호 , **-* ",86500 ,2025-11-28
466,도원양계,종계/산란계,"충청남도 천안시 동남구 병천면 도원리 ***번지 외 *필지(***-*, ***-*) ",110208 ,2025-11-28
472,가온팜 농업회사법인(주),종계/산란계,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,145600 ,2025-11-28
473,라파농장,종계/산란계,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호  ,172800 ,2025-11-28
483,영풍농장,육계,충청남도 천안시 동남구 광덕면 대평리 ***번지 *호  ,80000 ,2025-11-28
535,영광농장,종계/산란계,"충청남도 천안시 동남구 성남면 신사리 **번지 *호 외 *필지(**, **, **-*, **-*) ",9963 ,2025-11-28
540,황금농장,산란육성계,"충청남도 천안시 동남구 풍세면 보성리 ***번지 외 *필지(***, ***) ",73152 ,2025-11-28
541,황금농장2,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,36000 ,2025-11-28
544,세성농장,육계,충청남도 천안시 동남구 성남면 화성리 ***번지  ,50000 ,2025-11-28
566,알로큰농장,종계/산란계,충청남도 천안시 동남구 북면 연춘리 ***번지 *호  ,7128 ,2025-11-28
578,세명농장,종계/산란계,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,16789 ,2025-11-28
587,자연알로(성남),종계/산란계,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,14625 ,2025-11-28
596,구성농장,종계/산란계,"충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *(***-*,**) ",18624 ,2025-11-28
597,수호농장,종계/산란계,"충청남도 천안시 동남구 풍세면 가송리 ***번지 *호 외 *(***, ***-*) ",36064 ,2025-11-28
602,다미농장,종계/산란계,충청남도 천안시 동남구 성남면 대흥리 **번지 외 *(**-*) ,22377 ,2025-11-28
609,꼬꼬팜농장,종계/산란계,충청남도 천안시 서북구 입장면 가산리 *번지 *호 외 * ,77760 ,2025-11-28
615,가덕농장,육계,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호  ,60192 ,2025-11-28
626,에그머니농장,종계/산란계,충청남도 천안시 동남구 성남면 신덕리 ***번지 외 *필지(***) ,9360 ,2025-11-28
641,두성오리농장,오리,"충청남도 천안시 동남구 성남면 대흥리 **번지 *호 외 *필지(**-*,**-*,**-*) ",17577 ,2025-11-28
642,아빠사랑팜,종계/산란계,충청남도 천안시 동남구 목천읍 소사리 **번지  ,6480 ,2025-11-28
650,이든농장,종계/산란계,충청남도 천안시 동남구 성남면 봉양리 ***번지 이든농장 ,4320 ,2025-11-28
660,연수농장,육계,"충청남도 천안시 서북구 성환읍 신방리 **번지 외 *필지(**-*,**-*) ",66013 ,2025-11-28
674,개운농장,종계/산란계,충청남도 천안시 동남구 북면 명덕리 ***번지 *호 ***번지 ,4800 ,2025-11-28
707,대경농장,육계,충청남도 천안시 동남구 풍세면 보성리 **번지 *호 외 *필지(**-*) ,46000 ,2025-11-28
723,풍세메추리농장,메추리,충청남도 천안시 동남구 풍세면 삼태리 **번지  ,80000 ,2025-11-28
745,거기농장,육계,충청남도 천안시 동남구 성남면 석곡리 ***번지 *호  ,2000 ,2025-11-28
752,갈뫼정,육계,충청남도 천안시 동남구 목천읍 교천리 ***번지 외*필지(***-*) ,1000 ,2025-11-28
760,천안메추리농장,메추리,충청남도 천안시 동남구 성남면 대정리 ***번지 *호  ,100000 ,2025-11-28
762,목천농장,메추리,"충청남도 천안시 동남구 성남면 용원리 **번지 *호 외 *필지(**-*, **-*) ",70000 ,2025-11-28
768,백운농장(1),육계,충청남도 천안시 동남구 목천읍 운전리 **번지 *호  ,160 ,2025-11-28
772,유정농장(2),종계/산란계,충청남도 천안시 동남구 북면 은지리 *번지 *호  ,14 ,2025-11-28
773,자연알로(광덕),종계/산란계,"충청남도 천안시 동남구 광덕면 매당리 **번지 *호 외 *필지(**-*, **-**, **-**) ",70578 ,2025-11-28
774,삼봉농장,육계,충청남도 천안시 동남구 성남면 대흥리 **번지 *호  ,87000 ,2025-11-28
777,은하농장,산란육성계,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호 외 *필지(***-*) ,135438 ,2025-11-28
782,복농장,육계,"충청남도 천안시 동남구 성남면 신덕리 **번지 *호 외 *필지(**-*, **-*) ",45000 ,2025-11-28
784,양천2농장,메추리,충청남도 천안시 동남구 성남면 용원리 **번지 *호  ,200000 ,2025-11-28
785,명섭농장(2),오리,충청남도 천안시 동남구 병천면 관성리 ***번지 **호  ,4800 ,2025-11-28
790,진솔농장,종계/산란계,"충청남도 천안시 동남구 수신면 장산리 ***번지 *호 외 *필지(***, ***-*, 산**-*) ",18800 ,2025-11-28
791,성현농장,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 **번지 *호  ,70000 ,2025-11-28
795,대운2농장,육계,"충청남도 천안시 동남구 풍세면 보성리 ***번지 외 *필지(***, ***, ***) ",82000 ,2025-11-28
797,동행축산,육계,"충청남도 천안시 동남구 풍세면 풍서리 ***번지 외 *필지(***, ***) ",75000 ,2025-11-28
811,소사농장,종계/산란계,충청남도 천안시 동남구 목천읍 소사리 ***번지  ,214076 ,2025-11-28
812,한성농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,21000 ,2025-11-28
814,새터농장,육계,"충청남도 천안시 동남구 성남면 대흥리 *번지 *호 *-*, *-* ",160000 ,2025-11-28
820,주현3농장,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 **번지 *호  ,40000 ,2025-11-28
824,독립농장,종계/산란계,충청남도 천안시 동남구 병천면 병천리 ***번지 *호  ,35000 ,2025-11-28
827,대흥농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 **번지 *호  ,19800 ,2025-11-28
828,양지농장,육계,"충청남도 천안시 동남구 수신면 신풍리 ***번지 외 *(***, ***) ",54560 ,2025-11-28
841,키움축산,육계,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,110000 ,2025-11-28
845,성환농장,종계/산란계,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,21427 ,2025-11-28
848,농업회사법인주식회사다알,종계/산란계,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호  ,168480 ,2025-11-28
854,농업회사법인양지팜(유),종계/산란계,충청남도 천안시 서북구 성환읍 신가리 ***번지 *호  ,748224 ,2025-11-28
856,농업회사법인 주식회사 케이씨팜 성환농장,종계/산란계,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호  ,276480 ,2025-11-28
859,다온농장,육계,"충청남도 천안시 서북구 입장면 연곡리 ***번지 *호 외 *필지(***-*, ***-*) ",146600 ,2025-11-28
862,농업회사법인 조인팜스(주) 천안성환지점,종계/산란계,충청남도 천안시 서북구 성환읍 신가리 ***번지 *호 외*필지(***-*) ,400000 ,2025-11-28
